"preferenceStrength"	"byproductSparsity"	"metabolism"
0.676590873433991	2.18838169489746	"specific"
0.443116354938635	0.154598964120338	"common"
0.207639475571099	1.67488105802447	"common"
0.573027914177574	0.579003848869177	"common"
0.689420151410329	1.26616493832457	"specific"
0.974944894599859	0.572091184167181	"common"
0.947127869540875	7.75339720823891	"specific"
0.227795582435463	0.869739345085576	"common"
0.797180361598209	0.288159107167473	"specific"
0.6465852040705	0.217055822939266	"common"
0.100919701203905	2.46584885679782	"common"
0.05679468435583	7.0254730670704	"specific"
0.150648130805579	0.119229967024887	"common"
0.031938472682667	0.242080432957743	"specific"
0.919729857238517	0.135112458430915	"common"
0.221828075524727	0.76528577546186	"common"
0.704481726367631	5.35823337347556	"common"
0.033017210728489	0.446196047277721	"common"
0.693840436113168	0.705134616772578	"specific"
0.962858719700937	0.286660593465909	"common"
0.855097071490548	3.8547959850779	"specific"
0.480486945905153	7.0122699110102	"specific"
0.868800638020089	1.86122752665968	"common"
0.768091719947419	0.202925574737922	"common"
0.130762152471744	0.724477784416118	"common"
0.281271658174304	9.29536160703595	"common"
0.160862960320774	4.87822719202756	"common"
0.778586646502562	3.60025280616866	"common"
0.336214737315965	0.241787402053909	"common"
0.070863393957863	0.475802365141521	"specific"
0.17209278970354	9.15602712080003	"specific"
0.069715243887566	4.4882885424288	"specific"
0.03782613027165	0.187235431790171	"specific"
0.234443608051542	5.59029417933787	"common"
0.357122029774055	0.156497313243433	"specific"
0.956292333206712	0.594412263725586	"common"
0.208577248666163	0.114599282593453	"common"
0.658593174206775	1.2208004966772	"common"
0.272164209266754	3.25393124779034	"specific"
0.29756729164214	6.18849583966742	"common"
0.486376233709038	0.675147943962102	"specific"
0.729203972221653	1.14714249745521	"specific"
0.278975782781819	6.67883060331009	"specific"
0.041501020005629	2.86359446919381	"common"
0.35866186845398	0.13646220974525	"specific"
0.064147626567028	5.02818102608858	"common"
0.492319952600912	4.94309966944568	"specific"
0.303049814141729	0.612507922657316	"common"
0.825120037873823	0.109055774939195	"specific"
0.827966143261466	4.50447904432196	"specific"
0.408252180182329	0.392010117676682	"specific"
0.914925651083156	1.61852453822488	"specific"
0.776121615970276	0.273690950057873	"common"
0.920074334839309	0.162825931960786	"common"
0.864783775636468	6.47209870660811	"specific"
0.046041994196958	3.60746040438344	"common"
0.042863947837198	0.155605523867915	"specific"
0.387336091399377	0.444930412611635	"specific"
0.486764053267583	1.30306698141302	"common"
0.048716105533062	0.272499922406674	"specific"
0.774891622398671	3.77254810016282	"specific"
0.04661729167576	3.09845312148099	"specific"
0.640914819743737	0.21149209152082	"specific"
0.636524250652939	0.411428338917985	"specific"
0.811936594592714	0.494363472444421	"specific"
0.531634734378681	0.139796889178629	"common"
0.6266635394136	3.14357715204368	"specific"
0.560196856320851	1.2866164534887	"common"
0.513465946415624	0.29183647878046	"specific"
0.816159319372609	0.235245206361435	"common"
0.094603639099405	0.215565999837659	"specific"
0.953412331693002	0.408376718585802	"common"
0.028597442765411	3.18707622125134	"common"
0.420721564815661	1.9078648725953	"common"
0.841596481232686	4.55291262136376	"specific"
0.44988913271612	0.544596267269331	"common"
0.033678633054075	1.63651376369859	"common"
0.557245709388626	4.86667155413343	"specific"
0.449630351635231	0.1040037321096	"common"
0.305201836865725	6.82148918128907	"common"
0.054301833531394	0.606645140290408	"common"
0.252873921511753	3.28217163500275	"common"
0.307036679393549	0.990953303864451	"common"
0.270592259437471	8.16271243813539	"specific"
0.841693020302398	1.20574241362614	"specific"
0.80736784741691	1.74818947428906	"common"
0.349106713429321	0.130360471554198	"specific"
0.005948094701624	3.27289481243025	"specific"
0.99449621869818	0.520886055534997	"common"
0.132597766148514	0.106286664774414	"common"
0.499455724358542	2.30481950548819	"common"
0.372765136129172	0.542851500465748	"common"
0.686966162516124	2.38817803999658	"specific"
0.727318597930041	0.262483914843527	"common"
0.639992131706301	0.293699847830622	"specific"
0.947274232005732	2.83717184432773	"specific"
0.067081148834839	0.144000218070865	"common"
0.716266163457592	0.462858406202139	"common"
0.78851752473762	1.990135755604	"common"
0.339287050069247	1.94266908519321	"common"
